342108,EC-JDL,ES,40.497379,-3.580124,0,270,29,0,6045,5KA,IBE05KA,IB531,LEVX,VGO,LEMD,MAD,IBE,IB,A319,1686299211,en-route
342202,EC-JBD,ES,38.442417,23.85907,4686,346,427,1.6,6756,32,MDF32,LGAV,ATH,LGTS,SKG,SWT,WT*,E120,1686299210,en-route
342210,EC-JGS,ES,41.661648,4.213576,7421,78,937,4.6,1063,7RT,FIN07RT,AY1654,LEBL,BCN,EFHK,HEL,IBE,AY,A321,1686299213,en-route
342397,EC-JTQ,ES,38.624809,-1.510742,10972,52,914,0,6205,5JU,VLG5JU,VY3213,GCXO,TFN,LEBL,BCN,VLG,VY,A320,1686299212,en-route
342545,EC-KAD,ES,41.523945,7.599281,6408,130,522,0,4063,7274,SWT7274,WT7274,LFML,MRS,LMML,MLA,SWT,WT,AT72,1686299208,en-route
342591,EC-KHN,ES,41.653641,10.764621,11277,234,722,0,0272,8XE,VLG8XE,VY6401,LIPZ,VCE,LEBL,BCN,VLG,VY,A320,1686299212,en-route
343183,EC-KPB,ES,40.397781,-3.400879,3200,114,442,14,1414,251,INI251,LEMD,MAD,LFPB,LBG,INI,C56X,1686299211,en-route
343359,EC-LBB,ES,40.18375,10.40193,11277,101,911,0,1275,LEVC,VLC,LGAV,ATH,GES,GP*,GALX,1686299210,en-route
343385,EC-LAA,ES,49.697662,2.405644,10980,26,831,0,1000,3722,IBS3722,IB3722,LEMD,MAD,EHAM,AMS,IBS,IB,A320,1686299213,en-route
343552,EC-LGF,ES,28.333008,-16.137964,1485,127,401,-1,5002,33AG,IBB33AG,NT608,GCLA,SPC,GCXO,TFN,IBB,NT,AT75,1686299212,en-route
343694,EC-LKF,ES,40.935013,-3.347022,2834,229,420,-3.6,2332,38MB,ANE38MB,IB8697,LFBD,BOD,LEMD,MAD,IBE,IB,CRJX,1686299210,en-route
344099,EC-LLJ,ES,28.011925,-15.351186,670,19,438,7.5,6263,5MX,VLG5MX,VY3045,GCLP,LPA,LEZL,SVQ,VLG,VY,A320,1686299211,en-route
344158,EC-LOP,ES,39.433731,-0.519701,10980,28,911,-0.3,5065,814W,VLG814W,VY2211,LEZL,SVQ,LEBL,BCN,VLG,VY,A320,1686299211,en-route
344213,EC-LPG,ES,40.602539,-4.410645,4671,178,498,-2.3,5151,66YN,ANE66YN,IB8917,LEAM,LEI,LEMD,MAD,IBE,IB,CRJX,1686299212,en-route
344297,EC-LQX,ES,38.770191,-9.135236,0,348,11,0,4417,19DQ,AEA19DQ,UX1152,LPPT,LIS,LEMD,MAD,AEA,UX,B738,1686299207,en-route
344303,EC-LST,ES,38.763657,1.276384,1257,165,348,5.9,0000,7772,SWT7772,WT7772,LEIB,IBZ,LEPA,PMI,SWT,WT,AT72,1686299202,en-route
344341,EC-LTM,ES,50.917812,3.632126,11582,48,798,0,3373,885,AEA885,UX885,LEMD,MAD,EDDH,HAM,AEA,UX,B738,1686299213,en-route
344346,EC-LYF,ES,41.237961,-28.268982,11277,80,929,0,1361,6118,IBE6118,IB6118,KMIA,MIA,LEMD,MAD,IBE,IB,A333,1686299209,en-route
344416,EC-LUS,ES,40.693039,-4.367798,3749,156,464,-4.2,6012,38YQ,IBS38YQ,IB3865,LEMG,AGP,LEMD,MAD,IBS,IB,A320,1686299213,en-route
344449,EC-LVD,ES,40.487679,-3.563425,0,90,50,0,5321,33WP,IBE33WP,IB3388,LEMD,MAD,LFML,MRS,IBE,IB,A320,1686299213,en-route
344455,EC-LVQ,ES,39.28688,-7.050595,9448,244,738,0,2655,39AZ,IBS39AZ,IB3934,LEMD,MAD,GCXO,TFN,IBS,IB,A320,1686299211,en-route
344481,EC-LXQ,ES,39.322723,-4.062852,8884,226,755,4.9,2636,3340,IBE3340,IB3340,LEMD,MAD,GMMX,RAK,IBE,IB,A320,1686299213,en-route
344496,EC-LLE,ES,38.321522,-8.108865,10660,214,781,0.3,2612,3832,IBS3832,IB3832,LEMD,MAD,GCLP,LPA,IBS,IB,A320,1686299212,en-route
